,price.open,price.high,price.low,price.close,volume,price.adjusted,ref.date,ticker,ret.adjusted.prices,ret.closing.prices,,
952,18.860001,19.18,18.860001,18.950001,40200,18.867559,1/30/2019,SLP,0.005305042,0.005305093,0.630490715,U
953,18.85,19.35,18.73,19.26,50700,19.17621,1/31/2019,SLP,0.01635882,0.016358785,0.010308029,E
954,19.190001,19.43,18.99,19.370001,49300,19.285732,2/1/2019,SLP,0.005711348,0.005711371,0.154268667,E
955,19.34,19.75,19.27,19.620001,35000,19.534645,2/4/2019,SLP,0.012906588,0.012906556,0.266232381,E
956,19.75,19.75,19.25,19.34,34600,19.255863,2/5/2019,SLP,-0.014271158,-0.014271202,0.307139113,E
957,19.33,19.639999,19.110001,19.559999,22900,19.474905,2/6/2019,SLP,0.011375341,0.011375336,0.285447418,E
958,19.43,19.66,19.09,19.27,38100,19.186167,2/7/2019,SLP,-0.014826157,-0.014826126,0.589829763,U
959,19.120001,19.58,19.120001,19.52,34600,19.43508,2/8/2019,SLP,0.012973566,0.012973534,0.656012247,U
960,19.610001,20,19.57,19.879999,35600,19.793512,2/11/2019,SLP,0.018442528,0.018442572,0.610663347,U
961,19.969999,20,19.52,19.639999,39900,19.554556,2/12/2019,SLP,-0.012072441,-0.012072435,0.618712308,U
962,19.74,19.879999,19.66,19.84,19100,19.753687,2/13/2019,SLP,0.010183356,0.010183351,0.644096575,U
963,19.719999,19.950001,19.719999,19.85,19000,19.763643,2/14/2019,SLP,0.000504007,0.000504032,1.47773724,U
964,19.92,20.620001,19.889999,20.17,107200,20.082251,2/15/2019,SLP,0.016120915,0.016120907,0.997016325,U
965,20.17,20.5,20.17,20.49,31000,20.40086,2/19/2019,SLP,0.015865204,0.015865146,0.077188097,E
966,20.5,20.59,20.26,20.26,40100,20.17186,2/20/2019,SLP,-0.011225017,-0.011224988,0.625050836,U
967,20.26,20.5,20.26,20.49,20000,20.40086,2/21/2019,SLP,0.011352448,0.011352419,0.019193866,E
968,20.5,21.6,20.309999,21.360001,144500,21.267075,2/22/2019,SLP,0.04245973,0.042459785,-0.296179914,E
969,21.469999,21.66,21.110001,21.200001,46800,21.107771,2/25/2019,SLP,-0.00749064,-0.007490636,-0.57673751,D
970,21.18,21.25,20.57,20.57,32200,20.480511,2/26/2019,SLP,-0.029717017,-0.029717027,0.164015031,E
971,20.540001,20.98,20.530001,20.91,18400,20.819033,2/27/2019,SLP,0.016528982,0.016528926,-0.862474579,D
972,20.870001,20.940001,20.459999,20.51,39500,20.420773,2/28/2019,SLP,-0.019129611,-0.019129603,-0.517494616,D
973,20.530001,21.299999,20.200001,21.049999,22000,20.958422,3/1/2019,SLP,0.026328533,0.026328571,-0.970191865,D
974,21,21.059999,20.549999,20.6,34600,20.510382,3/4/2019,SLP,-0.021377564,-0.021377626,-0.2069171,E
